timestamp,participant_id,story_key,story_title,preferred_label,preferred_source,reason,flag_phrase_1,flag_comment_1,flag_phrase_2,flag_comment_2,flag_phrase_3,flag_comment_3
20260513_175704,12b44a6a,syria,Syria,,,,,,,,,
20260513_175704,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175704,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175713,12b44a6a,syria,Syria,,,,,,,,,
20260513_175713,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175713,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175715,12b44a6a,syria,Syria,,,,,,,,,
20260513_175715,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175715,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175716,12b44a6a,syria,Syria,,,,,,,,,
20260513_175716,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175716,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_175717,12b44a6a,syria,Syria,,,,,,,,,
20260513_175717,12b44a6a,wnl nigerian low tech,Nigerian Low Tech,,,,,,,,,
20260513_175717,12b44a6a,wnl ten ideas,Ten Ideas,,,,,,,,,
20260513_181832,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181832,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181832,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181835,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181835,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181835,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181836,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181836,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181836,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181837,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181837,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181837,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181837,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181837,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181837,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181838,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181838,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181838,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181838,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181838,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181838,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181837,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181837,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181837,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_181838,80485d4b,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_181838,80485d4b,wnl nigerian low tech,Nigerian Low Tech,Version C,few_shot_0.5,a,a,,a,,a,
20260513_181838,80485d4b,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,aa,aa,,,,
20260513_182212,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182212,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182212,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182213,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182213,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182213,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182215,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182215,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182215,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182214,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182214,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182214,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182214,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182214,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182214,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182215,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182215,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182215,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182214,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182214,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182214,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182216,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182216,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182216,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182217,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182217,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182217,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182218,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182218,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182218,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182217,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182217,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182217,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182218,ff2d9418,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182218,ff2d9418,wnl nigerian low tech,Nigerian Low Tech,Version B,human_simplified,a,a,,aa,,aaa,
20260513_182218,ff2d9418,wnl ten ideas,Ten Ideas,Version A,zero_shot_0.0,a,ss,s,,,,
20260513_182514,caeb4215,1a970808e3a3409b9399ca73558f5fa0,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182514,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl nigerian low tech,Nigerian Low Tech,Version A,zero_shot_0.0,a,a,a,a,a,a,a
20260513_182514,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,,,,,,
20260513_182515,caeb4215,1a970808e3a3409b9399ca73558f5fa0,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182515,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl nigerian low tech,Nigerian Low Tech,Version A,zero_shot_0.0,a,a,a,a,a,a,a
20260513_182515,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,,,,,,
20260513_182516,caeb4215,1a970808e3a3409b9399ca73558f5fa0,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182516,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl nigerian low tech,Nigerian Low Tech,Version A,zero_shot_0.0,a,a,a,a,a,a,a
20260513_182516,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,,,,,,
20260513_182518,caeb4215,1a970808e3a3409b9399ca73558f5fa0,syria,Syria,Version C,zero_shot_0.0,a,,,,,,
20260513_182518,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl nigerian low tech,Nigerian Low Tech,Version A,zero_shot_0.0,a,a,a,a,a,a,a
20260513_182518,caeb4215,1a970808e3a3409b9399ca73558f5fa0,wnl ten ideas,Ten Ideas,Version C,human_simplified,a,,,,,,
