story_key,comparison_type,variant,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,tier2_types_retained,tier2_types_removed,tier2_types_added,low_frequency_tier2_types_retained
anita,human_reference,human::elementary,0.7540255188941956,0.5074468745144045,-7.199999999999989,9.172724730882123,10.706168831168782,-2.340560086853074,-25.183789954337897,-0.05215898280702568,african; asian; bridge; census; change; class; cultural; discussion; image; important; inequality; link; natural; need; population,ancestry; apparent; attitude; complex; contrast; cycle; define; defined; demographic; discrimination; diversity; equality; explicit; goal; however; largely; latent; lecturer; likely; mainstream; minority; periphery; predominantly; prejudice; profoundly; project; publication; racial; relatively; result; social; society; sound; statistics; successful; suggestive; support; university,difference,asian; bridge; census; class; cultural; discussion; important; inequality; link; natural
copyright,human_reference,human::elementary,0.976621150970459,0.6676648316774674,-33.911764705882376,5.0331610942249085,2.1795463805513577,-2.287435221783049,-14.111369843868118,-0.0320660252994138,achieve; article; author; creative; creatively; dialogue; existing; group; index; influence; level; mp; need; poverty; society; subject; technology,acquired; analogue; approach; collected; content; critical; data; default; distribute; emerge; established; form; highly; independent; intellectual; principle; robust; scale; science; technical,change; discuss; organization; strongly; support,achieve; author; creatively; dialogue; existing; group; influence; level; poverty; society; subject; technology
crowdfunding,human_reference,human::elementary,0.8555333018302917,1.0482019269021032,-62.36703741152684,2.604089856812095,1.3559890994673651,-2.5814081912537326,-1.5161875115926335,-0.011122312920745385,activity; alternative; change; example; experience; finding; ground; international; project; successful; test; use; within,access; card; commercially; complex; conventional; efficient; expansion; focused; generate; growth; innovative; invention; known; limited; production; rejected; testing; transaction; validate; vital; weight; whole,european; group; important; increased; present; produce,activity; alternative; change; experience; finding; ground; international; successful
everest,human_reference,human::elementary,0.8071264028549194,-0.09941929159691601,-10.30735930735932,-5.95479808639368,-7.107513332942631,-1.6830695912274862,-29.836489951864593,-0.014395640112776553,agriculture; base; both; change; changing; climate; combination; completed; continued; erosion; fixed; human; need; planning; previous; provide; region; waste,address; challenge; class; condition; degradation; demand; environmental; exponential; finding; flow; following; further; harvesting; identify; impact; include; increased; infrastructure; language; level; modern; network; numerous; potential; rapid; sector; sequence; western,effect; future; group; increase; study; trained; use,agriculture; both; changing; combination; completed; continued; erosion; need; planning; previous; provide
loterry,human_reference,human::elementary,0.928984522819519,0.8659439740937267,-16.756034482758594,14.564556962025279,15.91535433070868,-1.37989379528263,-9.75630888119106,-0.023143523143523137,economics; employ; employed; existing; likely; proportion; range; study; supported; table; total; voluntary,analysis; anticipated; author; domestic; effect; further; generating; however; measurable; need; product; purchased; report; research; transform; use,given; important; preferred; working,economics; employ; existing; likely; proportion; range; supported; table; voluntary
wnl 101 year old bottle message,human_reference,human::elementary,0.9543273448944092,0.41845662164675745,-19.528919860627184,3.3569974554707187,2.4689069078434613,-1.9622861081071648,-0.9390920930445219,-0.026710912849526713,address; card; condition; culture; display; document; known; received; researcher,appreciation; attempt; author; available; given; group; incur; international; nature; note; science,,condition; culture; display; document; known; received; researcher
wnl billionaires,human_reference,human::elementary,0.9279595613479614,0.19808711566853143,-24.947250086475265,-6.583052039381187,-3.2256302521008706,-3.325654126971731,-48.71928696509168,-0.020862470862470867,above; address; following; mosaic; nature,calculated; century; culture; evidence; example; extent; however; marked; minority; nevertheless; previous; prohibitive; repeated; reveal; valuable; wealth; working,control,above; address; following; mosaic; nature
wnl experience,human_reference,human::elementary,0.9342689514160156,0.7338794773970048,-17.449292452830207,12.311427009294675,11.09964540829435,-1.5134758379442097,-20.694212680420193,-0.007803374432186892,display; experience; group; internal; need; relationship; stress; territorial; territory; within,empathy; evidence; limited; practice; specialized; traumatic; vertically,,display; experience; group; need; relationship; stress; territorial; territory; within
wnl ten ideas,human_reference,human::elementary,0.9135313034057617,0.17888124517108883,8.801026957638044,6.898844560715077,8.941196817710136,-2.409118286358595,-92.05908580675123,-0.042751070918610176,above; experiment; ground; project; similar; solution; sustainable; system; technology,act; change; climate; concept; conventional; convert; cycle; disperse; facility; harvesting; increasingly; industrial; innovation; international; movement; provide; scale; type; urban,group; need,experiment; project; similar; solution; sustainable
wnl why we should,human_reference,human::elementary,0.889441967010498,0.45397467141045267,-13.537373737373741,6.717675635276578,5.626206024857822,-4.423147617719515,-58.43841941125079,-0.026791898706120296,effect; environment; environmental; human; importance; improve; need; period; process; produce; reduce; reduced; use; valuable; vital; whole,adjustment; argue; challenge; equilibrium; examine; frequent; functioning; however; initial; intensity; known; likely; natural; necessary; production; reduction; relatively; short; suggest; tend; typically,change; example; experiment; working,environment; environmental; human; importance; improve; need; period; process; produce; reduced; valuable
wnl are you a bad boyfriend,human_reference,human::elementary,0.869896650314331,0.5616002773797797,-19.444852941176464,4.217391304347814,8.602733195614178,-1.2176630434782574,-40.88679843232242,-0.005126085159156676,present; relationship; testing; typical,available; capitalist; couple; design; external; generating; result; sharing; social; valuable,connected; etc; university,present; testing; typical
wnl shark,human_reference,human::elementary,0.9424149990081787,-0.35975030046064266,-13.150693568726354,-17.14950873837057,-11.676580149002632,-2.4749475350301395,-31.794388016250906,-0.013693219223173153,achieve; activity; changing; counterproductive; difference; encourage; evidence; exist; human; increase; increasing; ineffective; population; reduce; related; result; society; state; university; western; whole,approach; argue; consistent; globally; however; indiscriminate; nature; policy; positive; potential; potentially; previous; provide; scheme; solely,chosen; increased; method; monitor; use; working,achieve; activity; counterproductive; difference; encourage; exist; increase; increasing; reduce; related; society; university; whole
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.931232213973999,0.6251357302195479,-31.064468864468836,4.263258577882709,2.952627500704409,-1.8797454892642875,1.2628948895100507,-0.035804239159917844,african; ancestry; asian; attitude; bridge; census; change; class; discrimination; equality; explicit; image; inequality; likely; mainstream; minority; need; population; prejudice; racial; society; sound; statistics; successful; university,apparent; complex; contrast; cultural; cycle; define; defined; demographic; discussion; diversity; goal; however; important; largely; latent; lecturer; link; natural; periphery; predominantly; profoundly; project; publication; relatively; result; social; suggestive; support,chosen; common; describe; direct; known; level; linked; low; reduced; shared,ancestry; asian; attitude; bridge; census; equality; explicit; inequality; mainstream; minority; prejudice; statistics; successful
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9146876931190491,0.606282397215081,-24.681095176010444,5.146138843497965,6.013567138567112,-1.9769219710634047,0.42341604327171467,-0.028505663419899338,african; ancestry; asian; attitude; census; change; class; define; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; natural; need; periphery; population; racial; society; statistics; successful; support; university,apparent; bridge; complex; contrast; cultural; cycle; demographic; discussion; diversity; goal; however; important; largely; latent; predominantly; prejudice; profoundly; project; publication; relatively; result; social; sound; suggestive,common; group; known; linked; low; reduced; shared,ancestry; asian; attitude; census; define; defined; equality; explicit; inequality; lecturer; link; mainstream; minority; natural; periphery; statistics; successful; support
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.8936949968338013,0.5235373220106809,-23.630769230769204,5.62683101107541,2.413209295694287,-2.317909223796306,-11.133342450718004,-0.018482014102954206,african; ancestry; asian; attitude; bridge; census; change; class; define; defined; discrimination; diversity; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; natural; need; periphery; population; prejudice; racial; society; sound; successful; suggestive; support; university,apparent; complex; contrast; cultural; cycle; demographic; discussion; goal; however; important; largely; latent; predominantly; profoundly; project; publication; relatively; result; social; statistics,common; difference; known; low; mainly; present; reduced; shared,ancestry; asian; attitude; bridge; census; define; defined; diversity; equality; explicit; inequality; lecturer; link; mainstream; minority; natural; periphery; prejudice; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.9130306839942932,0.9207582308575262,-37.494654498044326,7.811320961776914,9.127805580831023,-2.496607045021186,-6.518687749548718,-0.02206457529738623,african; ancestry; asian; bridge; census; change; class; define; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; mainstream; minority; natural; need; periphery; population; prejudice; racial; social; society; sound; statistics; successful; suggestive; university,apparent; attitude; complex; contrast; cultural; cycle; demographic; discussion; diversity; goal; however; important; largely; latent; link; predominantly; profoundly; project; publication; relatively; result; support,argue; common; focus; known; linked; present; reduced; shared; strongly,ancestry; asian; bridge; census; define; defined; equality; explicit; inequality; lecturer; mainstream; minority; natural; periphery; prejudice; statistics; successful; suggestive
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9064996242523193,0.8901118476683423,-36.07370838117106,8.667878427918993,7.956955630917037,-2.0453681303126032,-12.197293895531786,-0.028609359442416188,african; ancestry; asian; bridge; census; change; class; define; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; need; periphery; population; racial; social; society; sound; statistics; successful; suggestive; support; university,apparent; attitude; complex; contrast; cultural; cycle; demographic; discussion; diversity; goal; however; important; largely; latent; natural; predominantly; prejudice; profoundly; project; publication; relatively; result,argue; common; known; low; present; reduced; shared,ancestry; asian; bridge; census; define; defined; equality; explicit; inequality; lecturer; link; mainstream; minority; periphery; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.9168384671211243,0.8160552735916644,-32.826373626373595,8.409721263290805,7.065078259716131,-2.3516538057508427,-13.962774143426373,-0.023813750602317968,african; ancestry; asian; attitude; bridge; census; change; class; define; discrimination; discussion; equality; explicit; image; inequality; lecturer; link; mainstream; minority; natural; need; periphery; population; prejudice; racial; social; society; sound; statistics; successful; suggestive; support; university,apparent; complex; contrast; cultural; cycle; defined; demographic; diversity; goal; however; important; largely; latent; likely; predominantly; profoundly; project; publication; relatively; result,common; known; level; low; mainly; present; reduce; reduced; shared,ancestry; asian; attitude; bridge; census; define; discussion; equality; explicit; inequality; lecturer; link; mainstream; minority; natural; periphery; prejudice; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.9572873115539551,0.3917364286425489,-25.097802197802196,0.7651627525589788,-0.6392857142857338,-1.7163069704407157,-6.6913084575253094,-0.019913707268503153,african; ancestry; asian; attitude; bridge; census; change; class; cultural; cycle; define; defined; discrimination; diversity; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; natural; need; periphery; population; prejudice; racial; social; society; sound; statistics; successful; suggestive; support; university,apparent; complex; contrast; demographic; discussion; goal; however; important; largely; latent; predominantly; profoundly; project; publication; relatively; result,difference; harmful; known; low; mainly; present; published; reduced,ancestry; asian; attitude; bridge; census; cultural; cycle; define; defined; diversity; equality; explicit; inequality; lecturer; link; mainstream; minority; natural; periphery; prejudice; statistics; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.9540175199508667,0.5743108280691036,-31.16367521367522,3.1647026855667946,1.4303871415939966,-1.8906963241436898,-8.360266159695811,-0.034114811050977245,african; asian; attitude; bridge; census; class; defined; discrimination; diversity; equality; explicit; image; inequality; lecturer; likely; mainstream; minority; natural; need; periphery; population; racial; social; society; sound; statistics; successful; suggestive; support; university,ancestry; apparent; change; complex; contrast; cultural; cycle; define; demographic; discussion; goal; however; important; largely; latent; link; predominantly; prejudice; profoundly; project; publication; relatively; result,difference; known; linked; present; published; reduced,asian; attitude; bridge; census; defined; diversity; equality; explicit; inequality; lecturer; mainstream; minority; natural; periphery; statistics; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9495590925216675,0.8587079098704877,-37.645701357466066,8.92524862373449,5.057631434076484,-1.7932329707138521,-18.48402919324802,-0.02271181316604942,african; ancestry; asian; bridge; census; change; class; defined; discrimination; diversity; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; need; periphery; population; racial; society; sound; statistics; successful; support; university,apparent; attitude; complex; contrast; cultural; cycle; define; demographic; discussion; goal; however; important; largely; latent; natural; predominantly; prejudice; profoundly; project; publication; relatively; result; social; suggestive,difference; focus; group; known; low; mainly; perform; present; reduced; shared; subject,ancestry; asian; bridge; census; defined; diversity; equality; explicit; inequality; lecturer; mainstream; minority; periphery; statistics; successful; support
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.9211182594299316,0.5414520151882507,-31.418367346938794,1.7994008314990992,0.8886698686803811,-4.2542468414871095,6.91753497558193,-0.029465234659059134,analogue; article; author; collected; content; creative; data; dialogue; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; group; highly; independent; level; principle; robust; scale; subject; technical,common; current; sharing; strongly,analogue; author; collected; data; dialogue; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9156556129455566,0.5558331455352366,-31.108695652173935,1.902252003315823,1.7143793501669506,-4.518795358624917,-7.884941050445832,-0.03377419831535393,analogue; article; author; collected; content; creative; data; dialogue; index; influence; intellectual; mp; need; science; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; group; highly; independent; level; poverty; principle; robust; scale; society; subject; technical,common; sharing; strongly; support; use,analogue; author; collected; data; dialogue; influence; intellectual; technology
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9309318661689758,0.9495388096320979,-37.020833333333314,8.689589665653443,10.072045621365248,-4.300230179028134,7.792313856543757,-0.04096360340259378,analogue; article; author; collected; content; creative; data; dialogue; index; intellectual; mp; science; society; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; group; highly; independent; influence; level; need; poverty; principle; robust; scale; subject; technical,current; needed; sharing; strongly; support,analogue; author; collected; data; dialogue; intellectual; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.9250668287277222,0.29141747368346715,-18.620000000000005,-1.5354910445967107,1.43900584001085,-4.233440665307182,0.6572071137360354,-0.025671852899575673,analogue; article; author; collected; content; creative; critical; data; dialogue; distribute; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; approach; creatively; default; emerge; established; existing; form; group; highly; independent; level; principle; robust; scale; subject; technical,active; control; current; sharing; strongly,analogue; author; collected; critical; data; dialogue; distribute; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9360634088516235,0.4234110984413546,-29.60638297872339,-1.9428599399556674,-0.0652682014725201,-3.669226738831842,4.4585435397436015,-0.024307486928468125,analogue; article; author; content; creative; dialogue; index; influence; intellectual; mp; poverty; science; society; technology,achieve; acquired; approach; collected; creatively; critical; data; default; distribute; emerge; established; existing; form; group; highly; independent; level; need; principle; robust; scale; subject; technical,affect; common; control; current; needed; published; sharing; strongly; support,analogue; author; dialogue; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.9321485757827759,0.6389848976461027,-22.939999999999998,5.80803852448696,8.28093506205056,-3.516158227666942,-4.51147136338605,-0.022743479334082994,analogue; article; author; collected; content; creative; data; dialogue; independent; index; influence; intellectual; mp; need; science; society; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; group; highly; level; poverty; principle; robust; scale; subject; technical,active; affect; control; current; sharing; strongly; support,analogue; author; collected; data; dialogue; independent; influence; intellectual; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.956210732460022,0.24184546209776547,-18.69999999999999,-1.6609742441209505,-0.8768706922591036,-2.4646929304208207,-8.942922976289282,-0.023074450302173075,analogue; approach; article; author; collected; content; creative; data; dialogue; group; independent; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; creatively; critical; default; distribute; emerge; established; existing; form; highly; level; principle; robust; scale; subject; technical,active; affect; control; current; discuss; needed; strongly; support,analogue; approach; author; collected; data; dialogue; group; independent; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.9736384153366089,-0.17044472121696397,-4.585106382978722,-8.04836714497776,-4.376523501485337,-3.772935646034,-3.8335840954645164,-0.01854794232738924,analogue; article; author; collected; content; creative; critical; data; dialogue; existing; group; independent; index; influence; intellectual; mp; need; poverty; science; society; technical,achieve; acquired; approach; creatively; default; distribute; emerge; established; form; highly; level; principle; robust; scale; subject; technology,affect; known; strongly; support; widespread; working,analogue; author; collected; critical; data; dialogue; existing; group; independent; influence; intellectual; poverty; society; technical
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9388076663017273,0.308235214179051,-21.729166666666686,-1.0084622823984546,-0.5406443984629163,-3.7136477215937482,2.2027885937024507,-0.03002130921753593,analogue; article; author; content; creative; data; dialogue; group; independent; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; approach; collected; creatively; critical; default; distribute; emerge; established; existing; form; highly; level; principle; robust; scale; subject; technical,current; needed; sharing; strongly; support,analogue; author; data; dialogue; group; independent; influence; intellectual; poverty; society; technology
crowdfunding,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.8535059094429016,1.4905827621086736,-60.68555900621118,16.523146683538926,11.328412328412355,-4.618620915032679,19.096572785565016,-0.02650102979899366,activity; change; focused; ground; growth; international; project; successful; test; testing,access; alternative; card; commercially; complex; conventional; efficient; example; expansion; experience; finding; generate; innovative; invention; known; limited; production; rejected; transaction; use; validate; vital; weight; whole; within,common; goal; group; important; need; support,activity; change; focused; ground; growth; international; successful; testing
crowdfunding,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.8419408202171326,1.4837455220089186,-59.3132045088567,16.65463588399365,11.905487427226603,-3.8691784161135274,17.60692744338921,-0.01459140468508234,activity; card; change; focused; ground; international; invention; project; rejected; successful; test; testing; use; weight,access; alternative; commercially; complex; conventional; efficient; example; expansion; experience; finding; generate; growth; innovative; known; limited; production; transaction; validate; vital; whole; within,expanding; goal; group; important; product; sending; support,activity; card; change; focused; ground; international; rejected; successful; testing; weight
